Name,Gender,Count
Aaban,M,107
Aabha,F,35
Aabid,M,10
Aabir,M,5
Aabriella,F,32
Aada,F,5
Aadam,M,254
Aadan,M,130
Aadarsh,M,199
Aaden,F,5
Aaden,M,4653
Aadesh,M,22
Aadhav,M,192
Aadhavan,M,36
Aadhi,M,38
Aadhira,F,77
Aadhvik,M,41
Aadhvika,F,9
Aadhya,F,1478
Aadhyan,M,18
Aadi,F,16
Aadi,M,811
Aadian,M,5
Aadil,M,342
Aadilynn,F,5
Aadin,M,124
Aadish,M,29
Aadison,F,11
Aadit,M,359
Aadith,M,76
Aadithya,M,11
Aaditri,F,43
Aaditya,M,551
Aadiv,M,17
Aadon,M,118
Aadrian,M,12
Aadrika,F,27
Aadrit,M,15
Aadriti,F,15
Aadvi,F,7
Aadvik,M,202
Aadvika,F,52
Aadya,F,990
Aadyn,F,16
Aadyn,M,492
Aafia,F,6
Aafiya,F,12
Aafiyah,F,10
Aafreen,F,5
Aagam,M,25
Aagna,F,7
Aahaan,M,33
Aahan,M,268
Aahana,F,535
Aaheli,F,5
Aahil,M,553
Aahir,M,6
Aahliyah,F,24
Aahna,F,89
Aahron,M,5
Aaidan,M,38
Aaiden,M,777
Aaidyn,M,59
Aaila,F,41
Aailiyah,F,15
Aailyah,F,194
Aaima,F,66
Aaira,F,149
Aairah,F,106
Aaisha,F,191
Aaishah,F,23
Aaiyana,F,5
Aaiza,F,24
Aaja,F,5
Aajah,F,29
Aajaylah,F,20
Aajon,M,8
Aakanksha,F,10
Aakarsh,M,58
Aakash,M,930
Aakeem,M,16
Aakil,M,9
Aakilah,F,18
Aakira,F,5
Aakiyah,F,5
Aakriti,F,49
Aala,F,92
Aalaiya,F,7
Aalaiyah,F,67
Aalana,F,48
Aalanah,F,21
Aalani,F,79
Aalap,M,6
Aalaya,F,139
Aalayah,F,789
Aalayiah,F,20
Aalayjah,F,6
Aalayna,F,40
Aalaysha,F,17
Aalaysia,F,138
Aalea,F,7
Aaleah,F,274
Aaleahya,F,20
Aaleayah,F,5
Aaleena,F,5
Aaleeya,F,5
Aaleeyah,F,121
Aaleiah,F,6
Aaleigha,F,165
Aaleiya,F,19
Aaleiyah,F,43
Aalena,F,5
Aalexis,F,20
Aalexus,F,6
Aaleya,F,16
Aaleyah,F,1118
Aali,M,6
Aalia,F,462
Aaliah,F,896
Aaliana,F,18
Aalias,M,5
Aaliayah,F,124
Aaliayh,F,47
Aalicia,F,5
Aaliha,F,12
Aalijah,F,142
Aalijah,M,194
Aalilah,F,5
Aalim,M,34
Aalimah,F,11
Aalina,F,59
Aalinah,F,6
Aalisa,F,5
Aalisha,F,35
Aalivia,F,62
Aaliya,F,1188
Aaliyaa,F,5
Aaliyah,F,83580
Aaliyah,M,96
Aaliyaha,F,21
Aaliyahmarie,F,36
Aaliyahrose,F,22
Aaliyan,F,103
Aaliyan,M,5
Aaliyana,F,107
Aaliyanna,F,5
Aaliyha,F,433
Aaliyiah,F,41
Aalliyah,F,164
Aallyah,F,5
Aalok,M,10
Aalon,M,5
Aaloni,F,5
Aalya,F,47
Aalyah,F,640
Aalycia,F,25
Aalyha,F,19
Aalyia,F,5
Aalyiah,F,735
Aalyna,F,5
Aalysia,F,6
Aalyssa,F,115
Aalyvia,F,5
Aamanda,F,10
Aamanee,F,10
Aamani,F,170
Aamar,M,5
Aamari,F,86
Aamari,M,117
Aamarion,M,10
Aamaya,F,5
Aamber,F,14
Aamena,F,10
Aamer,M,35
Aamia,F,22
Aamil,M,22
Aamilah,F,65
Aamina,F,299
Aaminah,F,377
Aamir,F,6
Aamir,M,1841
Aamira,F,310
Aamirah,F,183
Aamiya,F,52
Aamiyah,F,383
Aamna,F,213
Aamoni,F,10
Aamora,F,5
Aamori,F,101
Aamya,F,121
Aamyah,F,57
Aana,F,12
Aanand,M,5
Aanav,M,27
Aanay,M,16
Aanaya,F,41
Aanchal,F,72
Aania,F,55
Aaniah,F,33
Aanijah,F,5
Aanika,F,274
Aanisah,F,39
Aaniya,F,316
Aaniyah,F,1171
Aaniylah,F,11
Aansh,M,25
Aanshi,F,79
Aanvi,F,223
Aanya,F,2549
Aanyah,F,78
Aanyla,F,7
Aapri,F,5
Aaqib,M,27
Aaqil,M,42
Aara,F,97
Aarabella,F,17
Aarabhi,F,5
Aaradhana,F,45
Aaradhy,M,5
Aaradhya,F,490
Aaraf,M,16
Aaraiz,M,6
Aaralyn,F,1205
Aaralynn,F,271
Aaran,M,211
Aaraon,M,5
Aaratrika,F,5
Aarav,M,4854
Aaravi,F,19
Aaravreddy,M,6
Aaraya,F,5
Aaren,F,282
Aaren,M,801
Aareon,F,10
Aareon,M,33
Aareona,F,7
Aari,F,9
Aari,M,10
Aaria,F,318
Aariah,F,250
Aarian,F,59
Aarian,M,116
Aariana,F,417
Aarianna,F,202
Aarib,M,66
Aaric,M,478
Aarica,F,95
Aarick,M,28
Aarie,F,5
Aariel,F,198
Aariella,F,5
Aarielle,F,49
